Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
154,Adam Thielen,MIN,29,WR,10,10,48,30,62.50%,418,13.9,6,18,44,8.7,3,41.8,0,2019
28,Adam Thielen,MIN,30,WR,15,15,108,74,68.50%,925,12.5,14,52,51,8.6,4.9,61.7,0,2020
43,Adam Thielen,MIN,31,WR,13,13,95,67,70.50%,726,10.8,10,37,35,7.6,5.2,55.8,1,2021
37,Adam Thielen,MIN,32,WR,17,17,107,70,65.40%,716,10.2,6,45,36,6.7,4.1,42.1,0,2022
8,Adam Thielen*,MIN,27,WR,16,16,142,91,64.10%,1276,14,4,59,65,9,5.7,79.8,3,2017
5,Adam Thielen*,MIN,28,WR,16,16,153,113,73.90%,1373,12.2,9,74,68,9,7.1,85.8,1,2018
290,Adrian Arrington,NOR,25,WR,1,0,9,7,77.80%,79,11.3,0,3,17,8.8,7,79,0,2010
375,Adrian Arrington,NOR,26,WR,4,0,3,2,66.70%,31,15.5,0,2,17,10.3,0.5,7.8,0,2011
370,Adrian Madise,DEN,23,WR,11,0,3,2,66.70%,10,5,0,0,5,3.3,0.2,0.9,1,2003
356,Ahmad Merritt,CHI,24,WR,2,0,6,2,33.30%,20,10,0,1,13,3.3,1,10,0,2001
231,Ahmad Merritt,CHI,25,WR,12,3,26,14,53.80%,100,7.1,0,5,25,3.8,1.2,8.3,3,2002
350,Ahmad Merritt,CHI,26,WR,15,1,10,3,30.00%,50,16.7,0,2,25,5,0.2,3.3,1,2003
88,Albert Connell,WAS,26,WR,16,12,102,39,38.20%,762,19.5,3,29,77,7.5,2.4,47.6,0,2000
230,Albert Connell,NOR,27,WR,11,1,28,12,42.90%,191,15.9,2,7,46,6.8,1.1,17.4,0,2001
227,Albert Wilson,KAN,22,WR,12,2,28,16,57.10%,260,16.3,0,12,48,9.3,1.3,21.7,0,2014
123,Albert Wilson,KAN,23,WR,14,12,57,35,61.40%,451,12.9,2,19,44,7.9,2.5,32.2,0,2015
148,Albert Wilson,KAN,24,WR,16,5,51,31,60.80%,279,9,2,11,42,5.5,1.9,17.4,0,2016
98,Albert Wilson,KAN,25,WR,13,7,62,42,67.70%,554,13.2,3,32,63,8.9,3.2,42.6,0,2017
167,Albert Wilson,MIA,26,WR,7,3,35,26,74.30%,391,15,4,11,75,11.2,3.7,55.9,0,2018
94,Albert Wilson,MIA,27,WR,13,4,62,43,69.40%,351,8.2,1,22,35,5.7,3.3,27,0,2019
191,Albert Wilson,MIA,29,WR,14,5,39,25,64.10%,213,8.5,0,10,64,5.5,1.8,15.2,0,2021
258,Aldrick Robinson,WAS,24,WR,15,2,19,11,57.90%,237,21.5,3,9,68,12.5,0.7,15.8,0,2012
209,Aldrick Robinson,WAS,25,WR,16,1,46,18,39.10%,365,20.3,2,14,62,7.9,1.1,22.8,0,2013
442,Aldrick Robinson,WAS,26,WR,5,0,,1,0.00%,6,6,0,0,6,,0.2,1.2,0,2014
197,Aldrick Robinson,ATL,28,WR,16,1,32,20,62.50%,323,16.2,2,14,59,10.1,1.3,20.2,0,2016
