Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Years
246,Adam Trautman,NOR,23,TE,15,6,16,15,93.80%,171,11.4,1,9,41,10.7,1,11.4,0,2020
176,Adam Trautman,NOR,24,TE,13,10,43,27,62.80%,263,9.7,2,13,32,6.1,2.1,20.2,1,2021
214,Adam Trautman,NOR,25,TE,15,12,22,18,81.80%,207,11.5,1,9,22,9.4,1.2,13.8,0,2022
323,Alan Cross,TAM,23,TE,14,0,10,6,60.00%,38,6.3,1,3,10,3.8,0.4,2.7,0,2016
339,Alan Cross,TAM,24,TE,8,4,6,5,83.30%,58,11.6,0,3,23,9.7,0.6,7.3,0,2017
408,Alan Cross,TAM,25,TE,14,3,5,2,40.00%,9,4.5,0,1,6,1.8,0.1,0.6,0,2018
289,Albert Okwuegbunam,DEN,22,TE,4,0,15,11,73.30%,121,11,1,6,27,8.1,2.8,30.3,0,2020
146,Albert Okwuegbunam,DEN,23,TE,14,6,40,33,82.50%,330,10,2,15,64,8.3,2.4,23.6,1,2021
284,Albert Okwuegbunam,DEN,24,TE,8,1,18,10,55.60%,95,9.5,1,4,25,5.3,1.3,11.9,0,2022
372,Alex Ellis,JAX,23,TE,6,3,4,3,75.00%,11,3.7,0,0,6,2.8,0.5,1.8,0,2016
406,Alex Holmes,MIA,24,TE,8,0,1,1,100.00%,2,2,0,0,2,2,0.1,0.3,0,2005
78,Alex Smith,TAM,23,TE,16,10,61,41,67.20%,367,9,2,22,24,6,2.6,22.9,0,2005
103,Alex Smith,TAM,24,TE,14,7,53,35,66.00%,250,7.1,3,12,27,4.7,2.5,17.9,1,2006
126,Alex Smith,TAM,25,TE,14,14,53,32,60.40%,385,12,3,20,33,7.3,2.3,27.5,0,2007
171,Alex Smith,TAM,26,TE,14,12,38,21,55.30%,250,11.9,3,15,34,6.6,1.5,17.9,0,2008
363,Alex Smith,PHI,27,TE,16,5,8,3,37.50%,25,8.3,0,2,11,3.1,0.2,1.6,0,2009
429,Alex Smith,CLE,28,TE,3,1,1,1,100.00%,6,6,0,0,6,6,0.3,2,0,2010
235,Alex Smith,CLE,29,TE,14,4,25,14,56.00%,131,9.4,1,10,20,5.2,1,9.4,0,2011
240,Alex Smith,CLE,30,TE,12,2,18,13,72.20%,47,3.6,0,2,17,2.6,1.1,3.9,0,2012
372,Alex Smith,CIN,31,TE,16,1,6,3,50.00%,12,4,1,1,7,2,0.2,0.8,1,2013
484,Alex Smith,WAS,33,TE,3,1,2,0,0.00%,0,,0,0,0,0,0,0,,2015
328,Alfred Pupunu,DET,31,TE,9,0,3,3,100.00%,32,10.7,0,1,17,10.7,0.3,3.6,0,2000
129,Alge Crumpler,ATL,24,TE,16,12,41,25,61.00%,330,13.2,3,10,57,8,1.6,20.6,1,2001
114,Alge Crumpler,ATL,25,TE,16,9,58,36,62.10%,455,12.6,5,26,33,7.8,2.3,28.4,0,2002
91,Alge Crumpler,ATL,30,TE,14,10,70,42,60.00%,444,10.6,5,23,55,6.3,3,31.7,0,2007
151,Alge Crumpler,TEN,31,TE,15,15,41,24,58.50%,257,10.7,1,11,28,6.3,1.6,17.1,1,2008
150,Alge Crumpler,TEN,32,TE,16,14,37,27,73.00%,222,8.2,1,9,27,6,1.7,13.9,1,2009
307,Alge Crumpler,NWE,33,TE,16,10,10,6,60.00%,52,8.7,2,4,27,5.2,0.4,3.3,0,2010
79,Alge Crumpler*,ATL,26,TE,16,16,80,44,55.00%,552,12.5,3,27,63,6.9,2.8,34.5,1,2003
60,Alge Crumpler*,ATL,27,TE,14,14,74,48,64.90%,774,16.1,6,32,49,10.5,3.4,55.3,1,2004
35,Alge Crumpler*,ATL,28,TE,16,16,118,65,55.10%,877,13.5,5,42,48,7.4,4.1,54.8,1,2005
51,Alge Crumpler*,ATL,29,TE,16,16,103,56,54.40%,780,13.9,8,37,46,7.6,3.5,48.8,0,2006
436,Allen Reisner,MIN,23,TE,6,0,1,1,100.00%,5,5,0,1,5,5,0.2,0.8,0,2011
448,Allen Reisner,MIN,24,TE,4,0,2,1,50.00%,13,13,0,1,13,6.5,0.3,3.3,0,2012
335,Allen Reisner,JAX,25,TE,5,3,9,5,55.60%,40,8,0,1,16,4.4,1,8,0,2013
311,Alonzo Mayes,CHI,25,TE,5,3,9,4,44.40%,40,10,0,1,19,4.4,0.8,8,0,2000
281,Andrew Beck,DEN,23,TE,16,6,12,9,75.00%,90,10,1,6,29,7.5,0.6,5.6,0,2019
159,Andrew Glover,NOR,33,TE,16,14,40,21,52.50%,281,13.4,4,12,39,7,1.3,17.6,0,2000
263,Andrew Jordan,MIN,28,TE,16,4,15,8,53.30%,63,7.9,0,2,12,4.2,0.5,3.9,0,2000
331,Andrew Jordan,MIN,29,TE,16,4,7,3,42.90%,11,3.7,1,1,4,1.6,0.2,0.7,0,2001
189,Andrew Quarless,GNB,22,TE,13,3,33,21,63.60%,238,11.3,1,13,23,7.2,1.6,18.3,1,2010
364,Andrew Quarless,GNB,23,TE,10,2,4,3,75.00%,36,12,0,3,21,9,0.3,3.6,0,2011
142,Andrew Quarless,GNB,25,TE,16,10,53,32,60.40%,312,9.8,2,18,22,5.9,2,19.5,0,2013
149,Andrew Quarless,GNB,26,TE,16,11,46,29,63.00%,323,11.1,3,20,34,7,1.8,20.2,0,2014
375,Andrew Quarless,GNB,27,TE,5,1,5,4,80.00%,31,7.8,0,1,13,6.2,0.8,6.2,0,2015
185,Anthony Becht,NYJ,23,TE,14,10,30,16,53.30%,144,9,2,9,30,4.8,1.1,10.3,1,2000
95,Anthony Becht,NYJ,24,TE,16,15,53,36,67.90%,321,8.9,5,19,24,6.1,2.3,20.1,0,2001
138,Anthony Becht,NYJ,25,TE,16,15,44,28,63.60%,243,8.7,5,19,21,5.5,1.8,15.2,0,2002
87,Anthony Becht,NYJ,26,TE,16,16,58,40,69.00%,356,8.9,4,26,29,6.1,2.5,22.3,1,2003
229,Anthony Becht,NYJ,27,TE,16,16,28,13,46.40%,100,7.7,1,8,19,3.6,0.8,6.3,0,2004
208,Anthony Becht,TAM,28,TE,16,16,25,16,64.00%,112,7,0,4,17,4.5,1,7,0,2005
188,Anthony Becht,TAM,29,TE,16,16,26,18,69.20%,115,6.4,1,4,13,4.4,1.1,7.2,1,2006
