,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Lng,Y/A,Y/G,Fmb,Years
134,131,D'Onta Foreman,TEN,24,RB,6,0,22,95,0,6,15,4.3,15.8,0,2020
39,39,D'Onta Foreman,TEN,25,RB,9,3,133,566,3,22,35,4.3,62.9,2,2021
20,21,D'Onta Foreman,CAR,26,RB,17,9,203,914,5,45,60,4.5,53.8,1,2022
202,197,Da'Rel Scott,NYG,23,RB,11,0,5,16,0,1,8,3.2,1.5,1,2011
188,183,Da'Rel Scott,NYG,24,RB,4,0,6,9,0,1,5,1.5,2.3,0,2012
128,125,Da'Rel Scott,NYG,25,RB,5,1,20,73,0,3,16,3.7,14.6,0,2013
62,61,Dalvin Cook,MIN,22,RB,4,4,74,354,2,16,33,4.8,88.5,1,2017
35,35,Dalvin Cook,MIN,23,RB,11,10,133,615,2,22,70,4.6,55.9,2,2018
7,8,Dalvin Cook*,MIN,24,RB,14,14,250,1135,13,60,75,4.5,81.1,4,2019
1,2,Dalvin Cook*,MIN,25,RB,14,14,312,1557,16,91,70,5,111.2,5,2020
4,5,Dalvin Cook*,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3,2021
5,6,Dalvin Cook*,MIN,27,RB,17,17,264,1173,8,50,81,4.4,69,4,2022
151,148,Dalyn Dawkins,TEN,25,RB,2,0,11,26,0,2,14,2.4,13,0,2019
252,245,Damarea Crockett,DEN,24,RB,12,0,3,7,0,0,6,2.3,0.6,0,2021
13,14,Dameon Pierce,HOU,22,RB,13,13,220,939,4,54,75,4.3,72.2,4,2022
103,101,Damien Anderson,ARI,23,RB,10,1,24,65,0,3,14,2.7,6.5,0,2002
134,131,Damien Anderson,ARI,24,RB,16,0,18,68,0,5,17,3.8,4.3,0,2003
280,272,Damien Anderson,ARI,25,RB,4,0,1,2,0,0,2,2,0.5,0,2004
227,221,Damien Anderson,ARI,26,RB,5,0,2,7,0,0,6,3.5,1.4,0,2005
213,208,Damien Harris,NWE,22,RB,2,0,4,12,0,0,13,3,6,0,2019
33,33,Damien Harris,NWE,23,RB,10,10,137,691,2,30,41,5,69.1,1,2020
17,18,Damien Harris,NWE,24,RB,15,15,202,929,15,55,64,4.6,61.9,2,2021
47,47,Damien Harris,NWE,25,RB,11,9,106,462,3,23,30,4.4,42,0,2022
190,185,Damien Nash,TEN,23,RB,3,0,6,32,0,2,8,5.3,10.7,0,2005
128,125,Damien Nash,DEN,24,RB,3,0,18,66,0,2,26,3.7,22,0,2006
105,103,Damien Williams,MIA,22,RB,16,0,36,122,0,6,19,3.4,7.6,0,2014
156,152,Damien Williams,MIA,23,RB,16,0,16,59,0,2,19,3.7,3.7,2,2015
98,96,Damien Williams,MIA,24,RB,15,0,35,115,3,9,23,3.3,7.7,1,2016
92,90,Damien Williams,MIA,25,RB,11,4,46,181,0,7,69,3.9,16.5,0,2017
83,82,Damien Williams,KAN,26,RB,16,3,50,256,4,15,25,5.1,16,1,2018
41,41,Damien Williams,KAN,27,RB,11,6,111,498,5,22,91,4.5,45.3,1,2019
109,107,Damien Williams,CHI,29,RB,12,2,40,164,2,11,23,4.1,13.7,0,2021
325,316,Damien Williams,ATL,30,RB,1,1,2,2,0,0,2,1,2,0,2022
108,106,Damon Washington,NYG,24,RB,10,0,28,89,0,5,22,3.2,8.9,2,2001
206,201,Dan Herron,CIN,23,RB,3,0,4,5,0,0,6,1.3,1.7,0,2012
191,186,Dan Herron,IND,24,RB,6,0,5,33,0,2,22,6.6,5.5,0,2013
58,58,Dan Herron,IND,25,RB,16,3,78,351,1,17,49,4.5,21.9,2,2014
126,123,Dan Herron,2TM,26,RB,10,0,25,79,0,0,8,3.2,7.9,1,2015
156,152,Daniel Lasco,NOR,24,RB,7,0,11,32,0,1,6,2.9,4.6,0,2016
24,25,Daniel Thomas,MIA,24,RB,13,2,165,581,0,25,28,3.5,44.7,2,2011
50,50,Daniel Thomas,MIA,25,RB,12,0,91,325,4,15,20,3.6,27.1,3,2012
45,45,Daniel Thomas,MIA,26,RB,15,1,109,406,4,17,55,3.7,27.1,0,2013
88,87,Daniel Thomas,MIA,27,RB,12,0,44,168,2,8,15,3.8,14,1,2014
340,330,Danny Vitale,GNB,26,RB,15,4,1,3,0,0,3,3,0.2,0,2019
261,254,Danny Ware,NYG,23,RB,6,0,2,15,0,1,9,7.5,2.5,0,2008
